PlayerName
Bryce Harper
Michael Harris II
Kyle Harrison
Grant Hartwig
Hunter Harvey
Ke'Bryan Hayes
Austin Hays
Andrew Heaney
Jonathan Heasley
Austin Hedges
Jonah Heim
Ryan Helsley
Gunnar Henderson
Kyle Hendricks
Blair Henley
Tommy Henry
Darell Hernaiz
Jose Hernandez
Enrique Hernandez
Teoscar Hernandez
Ivan Herrera
Tim Herrin
Jason Heyward
Aaron Hicks
Jordan Hicks
Kyle Higashioka
Tim Hill
Bryan Hoeing
Nico Hoerner
Jeff Hoffman
Colin Holderman
Jackson Holliday
Clay Holmes
Tyler Holton
Rhys Hoskins
Tanner Houck
Adrian Houser
Bryan Hudson
Dakota Hudson
Daniel Hudson
Kyle Hurt
Andy Ibañez
Raisel Iglesias
Shota Imanaga
Jonathan India
Cole Irvin
Jake Irvin
Kyle Isbel
Luke Jackson
Jay Jackson
Travis Jankowski
Danny Jansen
Kenley Jansen
Bryce Jarvis
Cristian Javier
Griffin Jax
Tyler Jay
Daulton Jefferies
Ryan Jeffers
Dany Jiménez
Eloy Jiménez
Joe Jiménez
Connor Joe
Pierce Johnson
Jahmai Jones
Jared Jones
Nolan Jones
Aaron Judge
Edouard Julien
Josh Jung
Jakob Junis
Colt Keith
Jarred Kelenic
Mitch Keller
Carson Kelly
Joe Kelly
Merrill Kelly
Kevin Kelly
Michael Kelly
Tony Kemp
Max Kepler
Orion Kerkering
Grae Kessinger
Kevin Kiermaier
Yusei Kikuchi
Ha-Seong Kim
Craig Kimbrel
Isiah Kiner-Falefa
John King
Michael King
Tyler Kinley
George Kirby
Alex Kirilloff
Alejandro Kirk
Andrew Kittredge
Andrew Knizner
Jared Koenig
Stephen Kolek
Michael Kopech
Dean Kremer
Joel Kuhnel
Steven Kwan
Peter Lambert
Dinelson Lamet
Alex Lange
Shea Langeliers
Wyatt Langford
Trevor Larnach
Jacob Latz
Ramón Laureano
Derek Law
Justin Lawrence
Jordan Leasure
José Leclerc
Dylan Lee
Jung Hoo Lee
Korey Lee
Mark Leiter Jr
Dominic Leone
Royce Lewis
Matthew Liberatore
Francisco Lindor
Trey Lipscomb
Zack Littell
Luke Little
Nick Lodolo
Nick Loftin
Nicky Lopez
Otto Lopez
Michael Lorenzen
Brandon Lowe
Jonathan Loaisiga
Seth Lugo
Gavin Lux
Jesús Luzardo
Jordan Lyles
Lance Lynn
Jorge López
Pablo López
Reynaldo López
Manny Machado
Josh Maciejewski
Nick Madrigal
Kenta Maeda
Luke Maile
Martín Maldonado
Sean Manaea
Matt Manning
Joe Mantiply
Manuel Margot
Ron Marinaccio
Alec Marsh
Brandon Marsh
Ketel Marte
Starling Marte
Yunior Marte
Austin Martin
Chris Martin
Nick Martinez
Seth Martinez
Nick Martini
Miles Mastrobuoni
Jorge Mateo
Phil Maton
Luis Matos
Yuki Matsui
Steven Matz
Tyler Matzek
Tim Mayza
James McArthur
James McCann
Kyle McCann
Jake McCarthy
Chas McCormick
Andrew McCutchen
T.J. McFarland
Scott McGough
Reese McGuire
Triston McKenzie
Zach McKinstry
Ryan McMahon
Jeff McNeil
Curtis Mead
Parker Meadows
Nick Mears
Trevor Megill
Tylor Megill
MJ Melendez
Joey Meneses
Whit Merrifield
Jackson Merrill
Julian Merryweather
Max Meyer
Jake Meyers
Miles Mikolas
Wade Miley
Drew Millas
Bryce Miller
Erik Miller
Mason Miller
Bobby Miller
Shelby Miller
Tyson Miller
Hoby Milner
A.J. Minter
Jose Miranda
Casey Mize
Anthony Molina
Andruw Monasterio
Yoan Moncada
Mickey Moniak
Frankie Montas
Elehuris Montero
Rafael Montero
Dylan Moore
Matt Moore
Adrian Morejon
Christopher Morel
Gabriel Moreno
Eli Morgan
Charlie Morton
Ryan Mountcastle
Kyle Muller
Cedric Mullins
Max Muncy
Sean Murphy
Tom Murphy
Joe Musgrove
Parker Mushinski
Andrés Muñoz
Andrew Nardi
Omar Narvaez
Nick Nastrini
Josh Naylor
Bo Naylor
Kyle Nelson
Nick Nelson
Ryne Nelson
Héctor Neris
Zach Neto
Tyler Nevin
Kevin Newman
Brandon Nimmo
Ryan Noda
Aaron Nola
Lars Nootbaar
Nasim Nuñez
Dedniel Núñez
Riley O'Brien
Ryan O'Hearn
Logan O'Hoppe
Tyler O'Neill
Bailey Ober
Shohei Ohtani
Steven Okert
Edward Olivares
Matt Olson
Reese Olson
Joey Ortiz
Luis L. Ortiz
Luis F. Ortiz
Adam Ottavino
James Outman
Marcell Ozuna
Cristian Pache
Chris Paddack
